epoch,loss,w1,w2,w3,w4,w5,w6,b1,b2,b3
0,0.3882994161033684,0.5364256858621005,0.8807735706295101,0.2761573213775112,-1.6879479391054208,0.320281298267799,0.21532154862214445,1.715373586126238,-0.9757241164918408,1.5735265667467455
10,0.2957068172682399,0.5340991099865497,0.8796103833256116,0.2287653116737601,-1.700802214509066,-0.13702434057965268,0.27909933394575237,1.7165365711717735,-0.9749701785994657,1.1897579177486288
20,0.18023704966657464,0.5550488570980494,0.8900846092141874,0.18330093709855394,-1.7161634346563213,-0.668322331525322,0.4080026961952205,1.7060639185645705,-0.967908165826894,0.7903945457470203
30,0.12126247830761815,0.6205382662346316,0.9228286878590843,0.13345494604098324,-1.7377249272660595,-1.0549261992615682,0.5903363083510991,1.6733214699083134,-0.9501907544971755,0.5851004930639229
40,0.09064828515641682,0.7099958685479294,0.967557316900997,0.0772967628408592,-1.764636248069494,-1.3133871591524604,0.777862000685448,1.628593309821134,-0.9246347374744509,0.5151331808515702
50,0.06997681091041062,0.7976018498623961,1.0113602761937535,0.02000642021690081,-1.7929078541835624,-1.5085444620085695,0.946959011304343,1.5847904372955697,-0.8968000997328832,0.4928640373545869
60,0.055281806033587406,0.8727527955414552,1.0489357428487538,-0.03331463595076682,-1.8194456427276335,-1.6673908072774692,1.0930344483043162,1.547214987806319,-0.8704063435015439,0.4850153025149237
70,0.04473335073048881,0.9344488432541598,1.0797837651586946,-0.08049480252713655,-1.8429914191238719,-1.8010250448690057,1.218130252154054,1.5163669697892348,-0.8469126268166844,0.48131373659524135
80,0.037038710984381024,0.984846634942273,1.1049826605120558,-0.12141074543707461,-1.8634314199474376,-1.9155070875163895,1.3257963254345029,1.4911680757976966,-0.826493754229076,0.47879078168489586
90,0.03130143461913678,1.0264321391474998,1.1257754124252413,-0.15676788280975046,-1.881101832964796,-2.01492776276957,1.4193814931955433,1.4703753244102185,-0.8088329339520877,0.47662981897947154
100,0.02692269745824269,1.061253956105,1.143186320818779,-0.18744952290769062,-1.8964385686570053,-2.1022936636807317,1.5016252755521917,1.4529644162532271,-0.7935010040771732,0.4746240493258856
110,0.023505585646016475,1.0908564499453879,1.1579875676958202,-0.21427073026548207,-1.9098469496005925,-2.1798796735927435,1.5746692296772586,1.4381631694960346,-0.780095239428983,0.472730900178701
120,0.020784354287593756,1.1163779945583072,1.170748339978308,-0.23791366962431265,-1.9216671228229396,-2.249431312397246,1.6401690410903633,1.4254023972801708,-0.7682765927562942,0.47094635457194806
130,0.018577843608866933,1.1386590971027184,1.1818888912361807,-0.25892889172401123,-1.9321739327033927,-2.3123032025406527,1.699408605143933,1.4142618460621592,-0.75777072656438,0.46927146457356006
140,0.01675996327524803,1.1583272124285047,1.1917229488899834,-0.27775555446725214,-1.9415867444249268,-2.369558603899562,1.7533924186615202,1.4044277884336591,-0.7483585271415997,0.46770494502570237
150,0.015241087489440891,1.1758575373337568,1.200488111336557,-0.2947437821781815,-1.950080507180633,-2.422041741269211,1.8029152155021146,1.3956626260039424,-0.7398651782201221,0.46624267302975836
160,0.013956213762480055,1.1916154596842174,1.2083670725075941,-0.310174059922711,-1.9577954004524736,-2.470430593207498,1.8486132086299718,1.3877836648445947,-0.7321505745247638,0.4648786334769944
170,0.012857304020942801,1.2058861260307598,1.2155024056778603,-0.3242727277776889,-1.9648445573878603,-2.5152756358224275,1.8910016266673941,1.3806483316827114,-0.7251016263366445,0.46360587257985014
180,0.011908237807138839,1.218895193993241,1.2220069396568851,-0.3372239608145503,-1.9713200430344524,-2.557028495984566,1.930502328349447,1.3741437977098725,-0.7186262950875262,0.4624171746361096
190,0.01108142239705243,1.2308235723680017,1.227971128842591,-0.34917892157218006,-1.977297424453599,-2.596063335977142,1.9674642885715827,1.3681796085288436,-0.7126490304497807,0.4613054792219576
200,0.01035547276446105,1.2418180342277112,1.2334683597711538,-0.36026273830646116,-1.9828392565095077,-2.6326929726964567,2.002178952169751,1.362682377603893,-0.7071072884721221,0.460264112261753
210,0.009713595091359085,1.2519989661748465,1.2385588257437044,-0.3705798420513663,-1.9879977485088296,-2.667181152908043,2.034891867038124,1.3575919116341832,-0.7019488671654467,0.45928689681869905
